5
Bank Of America2,6
Ice Cream,Cream,04/04/2016,-21.00,Food
Boba,Boba Truck,03/02/2016,-4.00,Food
Books,USC BookStore,04/05/2016,-200.00,Education
Deposit,USC,02/10/2016,354.45,Paycheck
Deposit,USC,03/10/2016,294.82,Paycheck
Deposit,USC,04/10/2016,312.99,Paycheck
Credit Union,1
Tuition,USC,06/01/2015,-25321.29,Education
Chase Credit,8
Brownies,Cream,04/04/2016,-21.00,Food
Mango Boba,Boba Truck,03/02/2016,-4.00,Food
Art of the Deal,USC BookStore,04/05/2016,-200.00,Education
Milkshakes,Cream,04/04/2016,-21.00,Food
Boba,Boba Truck,03/02/2016,-4.50,Food
Books,USC BookStore,04/05/2016,-200.00,Education
Boba,Cup O'Joy,03/02/2016,-3.50,Food
Books,USC BookStore,04/15/2016,-150.0,Education
Wells Fargo,4
Fried Rice,Dong's Chinese Food,03/28/2016,-10.99,Food
Boba,Boba Truck,03/22/2016,-4.50,Food
Books,USC BookStore,04/05/2016,-35.39,Education
Curry,Maanas,04/21/2016,-9.99,Food
HSBC,3
Wire Transfer,HSBC,03/15/2016,2100,Transfer
Chicken Sandwich,Chick Fil-A,03/22/2016,-4,Food
Fries,McDonald,03/02/2016,-1.00,Food
